%Freq.	V(output)
1.00000000000000e+000	9.73655761960645e-005,-8.78681771863139e-011
1.25892541179417e+000	9.73655991448239e-005,-1.10619310379224e-010
1.58489319246111e+000	9.73656355530775e-005,-1.39262015260062e-010
1.99526231496888e+000	9.73656931576325e-005,-1.75320080171731e-010
2.51188643150958e+000	9.73657845753945e-005,-2.20715651359109e-010
3.16227766016838e+000	9.73659293864166e-005,-2.77865248687693e-010
3.98107170553497e+000	9.73661588853007e-005,-3.49812960666738e-010
5.01187233627272e+000	9.73665226390426e-005,-4.40390367356291e-010
6.30957344480194e+000	9.73670992011288e-005,-5.54425442306417e-010
7.94328234724282e+000	9.73680129575630e-005,-6.97987522922834e-010
1.00000000000000e+001	9.73694612021225e-005,-8.78731524001151e-010
1.25892541179417e+001	9.73717566285284e-005,-1.10630039359192e-009
1.58489319246111e+001	9.73753948173062e-005,-1.39281925599876e-009
1.99526231496888e+001	9.73811615336193e-005,-1.75361178397822e-009
2.51188643150958e+001	9.73903026153071e-005,-2.20796888255905e-009
3.16227766016838e+001	9.74047937615447e-005,-2.78027815355440e-009
3.98107170553498e+001	9.74277696336706e-005,-3.50137305384234e-009
5.01187233627273e+001	9.74642063078066e-005,-4.41036275663210e-009
6.30957344480194e+001	9.75220109741680e-005,-5.55714605451565e-009
7.94328234724283e+001	9.76137671939166e-005,-7.00564271335593e-009
1.00000000000000e+002	9.77595487042000e-005,-8.83884238730656e-009
1.25892541179417e+002	9.79914997197185e-005,-1.11660820753762e-008
1.58489319246112e+002	9.83614028762812e-005,-1.41349953979001e-008
1.99526231496888e+002	9.89534715989023e-005,-1.79519969413310e-008
2.51188643150958e+002	9.99067239239128e-005,-2.29201932896634e-008
3.16227766016838e+002	1.01456108609385e-004,-2.95147876090682e-008
3.98107170553498e+002	1.04013634305077e-004,-3.85461653511741e-008
5.01187233627273e+002	1.08344872107030e-004,-5.15523184343251e-008
6.30957344480194e+002	1.16008354714187e-004,-7.18867869554246e-008
7.94328234724283e+002	1.30680243781020e-004,-1.08446567828133e-007
1.00000000000000e+003	1.63540048062371e-004,-1.93774695076639e-007
1.25892541179417e+003	2.72588340545325e-004,-5.66043286572725e-007
1.58489319246112e+003	-4.30731425830955e-003,-1.21906723508740e-004
1.99526231496888e+003	-1.54471571627089e-004,-5.12663611114307e-008
2.51188643150959e+003	-6.05360842875024e-005,3.57816058328848e-008
3.16227766016839e+003	-3.04552476305159e-005,3.52793879805539e-008
3.98107170553498e+003	-1.67413688125737e-005,2.86297797572998e-008
5.01187233627273e+003	-9.50877786251799e-006,2.23274058398978e-008
6.30957344480195e+003	-5.40209903045953e-006,1.70468587418622e-008
7.94328234724283e+003	-2.97428011903301e-006,1.26776855367241e-008
1.00000000000000e+004	-1.50793744395683e-006,9.01154526899939e-009
1.25892541179417e+004	-6.16029851635295e-007,5.85668180525416e-009
1.58489319246112e+004	-7.94418497351292e-008,3.05490170621013e-009
1.99526231496889e+004	2.27865543923581e-007,4.84083600345208e-010
2.51188643150959e+004	3.76149591306640e-007,-1.93451344292747e-009
3.16227766016839e+004	3.98813851022872e-007,-4.21558037268585e-009
3.98107170553498e+004	3.00934458269403e-007,-6.26822555486307e-009
5.01187233627274e+004	6.05283429092684e-008,-7.83230601563160e-009
6.30957344480195e+004	-3.76993982741035e-007,-8.43290989186510e-009
7.94328234724284e+004	-1.11317087891720e-006,-7.57983959943663e-009
1.00000000000000e+005	-2.32528629307295e-006,-6.18499121435829e-009
1.25892541179417e+005	-4.32303426257335e-006,-1.30954594226548e-008
1.58489319246112e+005	-7.66567415306380e-006,-7.25186172790300e-008
1.99526231496889e+005	-1.34237399806910e-005,-3.80484192407076e-007
2.51188643150959e+005	-2.37963580673101e-005,-1.82022586857922e-006
3.16227766016839e+005	-4.32253068873818e-005,-8.72912187249658e-006
3.98107170553499e+005	-7.19122828734749e-005,-4.16708408674356e-005
5.01187233627274e+005	-4.54896420646216e-005,-1.07429991557471e-004
6.30957344480196e+005	6.44655749775150e-006,-9.80589291356470e-005
7.94328234724285e+005	1.47258603338050e-005,-7.45524686314652e-005
1.00000000000000e+006	1.00758320686739e-005,-5.98097572081412e-005
1.25892541179417e+006	3.12572928202565e-006,-4.91042251152011e-005
1.58489319246112e+006	-3.31480710916038e-006,-3.97113832535652e-005
1.99526231496889e+006	-8.22002416648991e-006,-3.08032123104168e-005
2.51188643150959e+006	-1.12241306552911e-005,-2.23765382501467e-005
3.16227766016839e+006	-1.23061780874181e-005,-1.47152252707594e-005
3.98107170553499e+006	-1.16505566901457e-005,-8.18881059931961e-006
5.01187233627275e+006	-9.62974366709188e-006,-3.17824098358811e-006
6.30957344480196e+006	-6.84265743619921e-006,4.18663564447007e-008
7.94328234724285e+006	-4.05038788403961e-006,1.50420641380578e-006
1.00000000000000e+007	-1.90533255843554e-006,1.66182722704684e-006
1.25892541179417e+007	-6.50339038826034e-007,1.20161379582396e-006
1.58489319246112e+007	-1.08557825570465e-007,6.76256363570740e-007
1.99526231496889e+007	4.64066599499203e-008,3.18509362628559e-007
2.51188643150959e+007	5.71419695470061e-008,1.31899269418282e-007
3.16227766016839e+007	3.65235326736303e-008,4.98830382691880e-008
3.98107170553499e+007	1.88775296948338e-008,1.77296047321771e-008
5.01187233627275e+007	8.77516272413162e-009,6.04583633583398e-009
6.30957344480196e+007	3.84075141199253e-009,2.00647783684072e-009
7.94328234724286e+007	1.62158723372502e-009,6.54331603685002e-010
1.00000000000000e+008	6.69704861878260e-010,2.10999521637963e-010
