%Freq.	V(vout)
1.00000000000000e+000	4.99973176387176e-001,-2.09277489605453e-004
1.01157945425990e+000	4.99960135191955e-001,-3.89873430071933e-005
1.02329299228075e+000	5.00005897986387e-001,-3.94388865615117e-005
1.03514216667934e+000	4.99999282741132e-001,-1.13209825616047e-004
1.04712854805090e+000	4.99963215565529e-001,5.02234905494610e-005
1.05925372517729e+000	5.00029331906620e-001,-4.08247599113023e-005
1.07151930523761e+000	5.00028855513287e-001,-2.35890460766808e-005
1.08392691402120e+000	5.00006381808492e-001,-2.42715288548368e-005
1.09647819614319e+000	5.00017477838793e-001,4.42634713802994e-005
1.10917481526240e+000	5.00008337281955e-001,-2.56428278405175e-005
1.12201845430196e+000	5.00054323268352e-001,-1.44722707081086e-004
1.13501081567232e+000	4.99968360193587e-001,7.32521076418913e-005
1.14815362149688e+000	4.99974697049402e-001,-7.72968567897686e-005
1.16144861384034e+000	5.00011659946471e-001,3.69173488608312e-005
1.17489755493953e+000	4.99941633151778e-001,1.96888126202304e-004
1.18850222743702e+000	5.00014739375272e-001,-1.41593252980323e-004
1.20226443461741e+000	5.00009590916466e-001,-9.36808943337387e-005
1.21618600064637e+000	5.00040814762994e-001,-7.80785953378333e-005
1.23026877081238e+000	5.00023096036033e-001,-7.82619676393216e-005
1.24451461177139e+000	5.00012219236292e-001,-2.22737869304181e-006
1.25892541179417e+000	5.00021844608096e-001,-2.14311306612089e-004
1.27350308101666e+000	4.99998159963196e-001,-1.08674122197113e-004
1.28824955169314e+000	5.00007343315575e-001,-1.23290462564952e-004
1.30316677845230e+000	4.99985392482092e-001,-6.55120156096625e-006
1.31825673855641e+000	5.00024022839513e-001,7.87360661796404e-005
1.33352143216333e+000	5.00022332601249e-001,-2.64827740729984e-004
1.34896288259166e+000	5.00024804667832e-001,-2.38582816917588e-005
1.36458313658893e+000	5.00038764216688e-001,-1.08215793024381e-004
1.38038426460289e+000	5.00045723738933e-001,-2.04418998087925e-004
1.39636836105594e+000	5.00024690286786e-001,-1.35348728758501e-004
1.41253754462276e+000	5.00007505384634e-001,-1.41445421953429e-005
1.42889395851111e+000	5.00016386652834e-001,-9.49074751640154e-005
1.44543977074593e+000	5.00003619780049e-001,-4.25826540104322e-005
1.46217717445672e+000	5.00016097010287e-001,-1.34212880693905e-004
1.47910838816821e+000	5.00024842035251e-001,-1.98119199878339e-004
1.49623565609444e+000	4.99995935914980e-001,-8.30267355524059e-005
1.51356124843621e+000	5.00022142913790e-001,-2.33842205179213e-004
1.53108746168203e+000	5.00012685621463e-001,2.77364432457962e-005
1.54881661891249e+000	5.00021448177149e-001,-1.33198442014367e-004
1.56675107010815e+000	4.99981997288600e-001,-1.20927948248315e-004
1.58489319246112e+000	5.00011945147049e-001,2.27176003493814e-005
1.60324539069005e+000	5.00003169610013e-001,-1.80131922428426e-004
1.62181009735893e+000	5.00025051471223e-001,-1.21004649454770e-004
1.64058977319954e+000	5.00006398940228e-001,-1.09489611627531e-004
1.65958690743757e+000	4.99980808134046e-001,-8.68249036544203e-005
1.67880401812257e+000	4.99999419512434e-001,-5.34015163821286e-005
1.69824365246175e+000	5.00007711608780e-001,-7.66243894601352e-005
1.71790838715759e+000	5.00006777561573e-001,-1.09879750388579e-005
1.73780082874938e+000	5.00016797653796e-001,-2.33029943616795e-005
1.75792361395870e+000	5.00013817721375e-001,-2.08065103946289e-004
1.77827941003893e+000	4.99999806747089e-001,-2.58602069961173e-005
1.79887091512879e+000	5.00010707888885e-001,-1.74805182619858e-004
1.81970085860999e+000	4.99985247909830e-001,2.84660323086532e-006
1.84077200146896e+000	5.00011046653902e-001,-1.74019425457931e-004
1.86208713666287e+000	5.00023472262185e-001,-1.22716439504383e-004
1.88364908948981e+000	5.00012352348672e-001,-9.27435452513475e-005
1.90546071796325e+000	4.99984849848837e-001,-4.35692088758128e-005
1.92752491319094e+000	4.99985344159933e-001,-1.52339348955056e-005
1.94984459975805e+000	4.99986886006242e-001,-1.43258188653567e-004
1.97242273611486e+000	4.99999801365063e-001,9.32693114305110e-007
1.99526231496889e+000	5.00003662820387e-001,-5.78813980275232e-005
2.01836636368157e+000	5.00022418692305e-001,-5.89882316418411e-005
2.04173794466954e+000	4.99995317407118e-001,-1.62321277769007e-004
2.06538015581054e+000	5.00001621950344e-001,3.98179388088198e-005
2.08929613085405e+000	5.00008071561439e-001,-8.05237299740495e-005
2.11348903983666e+000	5.00008606428416e-001,-9.94107284755377e-005
2.13796208950224e+000	4.99997546188137e-001,-1.26770039215303e-004
2.16271852372703e+000	5.00001817833657e-001,-1.00898866614510e-004
2.18776162394956e+000	4.99998873673299e-001,-1.19007324756407e-004
2.21309470960565e+000	4.99997217936155e-001,-5.10035968461365e-005
2.23872113856835e+000	4.99982720401505e-001,-4.39115777740618e-005
2.26464430759307e+000	4.99996376502636e-001,-7.89041048115190e-005
2.29086765276778e+000	5.00005869572698e-001,-4.68819187278006e-005
2.31739464996849e+000	4.99995723587087e-001,-1.38436576234452e-004
2.34422881531993e+000	4.99992638329424e-001,-1.32447611637811e-006
2.37137370566167e+000	4.99991148685213e-001,-1.13907098411874e-005
2.39883291901950e+000	4.99993916235580e-001,-4.49998100967420e-005
2.42661009508243e+000	5.00002510411390e-001,-1.56073733687122e-004
2.45470891568504e+000	4.99987549415438e-001,-1.33250774941647e-004
2.48313310529558e+000	4.99988290964727e-001,-2.69399534050255e-005
2.51188643150959e+000	5.00004036293237e-001,-1.19470644509281e-004
2.54097270554932e+000	5.00005129156791e-001,-1.20332372018144e-004
2.57039578276888e+000	4.99991441625272e-001,-6.21607570484497e-005
2.60015956316529e+000	5.00007101181634e-001,-1.14806888971059e-004
2.63026799189540e+000	5.00000004070577e-001,-1.37439458255050e-004
2.66072505979882e+000	4.99991278245123e-001,-1.69821151905617e-005
2.69153480392693e+000	4.99996285061067e-001,1.99950656587739e-006
