Freq.	V(vout)
1.00000000000000e+000	4.99999498427008e-001,-3.96672781545951e-005
1.01157945425990e+000	4.99999498390320e-001,-4.01266070884875e-005
1.02329299228075e+000	4.99999498352862e-001,-4.05912500578756e-005
1.03514216667934e+000	4.99999498314446e-001,-4.10612748753544e-005
1.04712854805090e+000	4.99999498275164e-001,-4.15367411849590e-005
1.05925372517729e+000	4.99999498234995e-001,-4.20177137931329e-005
1.07151930523761e+000	4.99999498193890e-001,-4.25042546834400e-005
1.08392691402120e+000	4.99999498151798e-001,-4.29964327950223e-005
1.09647819614319e+000	4.99999498108699e-001,-4.34943071557094e-005
1.10917481526240e+000	4.99999498064679e-001,-4.39979473188100e-005
1.12201845430196e+000	4.99999498019577e-001,-4.45074200491712e-005
1.13501081567232e+000	4.99999497973453e-001,-4.50227928847460e-005
1.14815362149688e+000	4.99999497926253e-001,-4.55441332573334e-005
1.16144861384034e+000	4.99999497877954e-001,-4.60715085016924e-005
1.17489755493953e+000	4.99999497828431e-001,-4.66049885291908e-005
1.18850222743702e+000	4.99999497777868e-001,-4.71446520543599e-005
1.20226443461741e+000	4.99999497726126e-001,-4.76905599588586e-005
1.21618600064637e+000	4.99999497673150e-001,-4.82427917163337e-005
1.23026877081238e+000	4.99999497618925e-001,-4.88014152039064e-005
1.24451461177139e+000	4.99999497563424e-001,-4.93665089163579e-005
1.25892541179417e+000	4.99999497506686e-001,-4.99381451005350e-005
1.27350308101666e+000	4.99999497448598e-001,-5.05164039761534e-005
1.28824955169314e+000	4.99999497389128e-001,-5.11013559822524e-005
1.30316677845230e+000	4.99999497328329e-001,-5.16930804391240e-005
1.31825673855641e+000	4.99999497266099e-001,-5.22916611177036e-005
1.33352143216333e+000	4.99999497202378e-001,-5.28971675981758e-005
1.34896288259166e+000	4.99999497137228e-001,-5.35096881431517e-005
1.36458313658893e+000	4.99999497070503e-001,-5.41293003983812e-005
1.38038426460289e+000	4.99999497002281e-001,-5.47560891671051e-005
1.39636836105594e+000	4.99999496932440e-001,-5.53901339864276e-005
1.41253754462276e+000	4.99999496861001e-001,-5.60315206846628e-005
1.42889395851111e+000	4.99999496787882e-001,-5.66803369515852e-005
1.44543977074593e+000	4.99999496713004e-001,-5.73366652442550e-005
1.46217717445672e+000	4.99999496636410e-001,-5.80005907920380e-005
1.47910838816821e+000	4.99999496558060e-001,-5.86722087135690e-005
1.49623565609444e+000	4.99999496477912e-001,-5.93515991594038e-005
1.51356124843621e+000	4.99999496395840e-001,-6.00388584100917e-005
1.53108746168203e+000	4.99999496311857e-001,-6.07340740190958e-005
1.54881661891249e+000	4.99999496225931e-001,-6.14373417002685e-005
1.56675107010815e+000	4.99999496138031e-001,-6.21487537937459e-005
1.58489319246112e+000	4.99999496048042e-001,-6.28684010546524e-005
1.60324539069005e+000	4.99999495955997e-001,-6.35963842119479e-005
1.62181009735893e+000	4.99999495861780e-001,-6.43327962174663e-005
1.64058977319954e+000	4.99999495765369e-001,-6.50777342491491e-005
1.65958690743757e+000	4.99999495666738e-001,-6.58312975035213e-005
1.67880401812257e+000	4.99999495565789e-001,-6.65935894292397e-005
1.69824365246175e+000	4.99999495462516e-001,-6.73647061939880e-005
1.71790838715759e+000	4.99999495356780e-001,-6.81447517969399e-005
1.73780082874938e+000	4.99999495248623e-001,-6.89338327532219e-005
1.75792361395870e+000	4.99999495137960e-001,-6.97320487817285e-005
1.77827941003893e+000	4.99999495024683e-001,-7.05395074739575e-005
1.79887091512879e+000	4.99999494908782e-001,-7.13563163144271e-005
1.81970085860999e+000	4.99999494790159e-001,-7.21825822507580e-005
1.84077200146896e+000	4.99999494668808e-001,-7.30184179252915e-005
1.86208713666287e+000	4.99999494544608e-001,-7.38639314755478e-005
1.88364908948981e+000	4.99999494417536e-001,-7.47192349866031e-005
1.90546071796325e+000	4.99999494287482e-001,-7.55844436177893e-005
1.92752491319094e+000	4.99999494154412e-001,-7.64596702886194e-005
1.94984459975805e+000	4.99999494018242e-001,-7.73450310230852e-005
1.97242273611486e+000	4.99999493878885e-001,-7.82406440768608e-005
1.99526231496889e+000	4.99999493736295e-001,-7.91466277323914e-005
2.01836636368157e+000	4.99999493590397e-001,-8.00631034232759e-005
2.04173794466954e+000	4.99999493441079e-001,-8.09901899770071e-005
2.06538015581054e+000	4.99999493288262e-001,-8.19280116247046e-005
2.08929613085405e+000	4.99999493131954e-001,-8.28766949087614e-005
2.11348903983666e+000	4.99999492971947e-001,-8.38363607057156e-005
2.13796208950224e+000	4.99999492808249e-001,-8.48071402301590e-005
2.16271852372703e+000	4.99999492640728e-001,-8.57891612847962e-005
2.18776162394956e+000	4.99999492469291e-001,-8.67825536065924e-005
2.21309470960565e+000	4.99999492293853e-001,-8.77874479958589e-005
2.23872113856835e+000	4.99999492114348e-001,-8.88039776659538e-005
2.26464430759307e+000	4.99999491930661e-001,-8.98322791491436e-005
2.29086765276778e+000	4.99999491742677e-001,-9.08724883176390e-005
2.31739464996849e+000	4.99999491550327e-001,-9.19247412898465e-005
2.34422881531993e+000	4.99999491353503e-001,-9.29891806659133e-005
2.37137370566167e+000	4.99999491152086e-001,-9.40659444439605e-005
2.39883291901950e+000	4.99999490945987e-001,-9.51551771410344e-005
2.42661009508243e+000	4.99999490735082e-001,-9.62570209302360e-005
2.45470891568504e+000	4.99999490519247e-001,-9.73716240975594e-005
2.48313310529558e+000	4.99999490298403e-001,-9.84991352880857e-005
2.51188643150959e+000	4.99999490072418e-001,-9.96397013051285e-005
2.54097270554932e+000	4.99999489841171e-001,-1.00793475123650e-004
2.57039578276888e+000	4.99999489604526e-001,-1.01960609248961e-004
2.60015956316529e+000	4.99999489362360e-001,-1.03141256181080e-004
2.63026799189540e+000	4.99999489114574e-001,-1.04335575540686e-004
2.66072505979882e+000	4.99999488861011e-001,-1.05543726096244e-004
2.69153480392693e+000	4.99999488601540e-001,-1.06765863564530e-004
2.72270130807793e+000	4.99999488336024e-001,-1.08002153954577e-004
2.75422870333818e+000	4.99999488064321e-001,-1.09252760266438e-004
2.78612116862979e+000	4.99999487786282e-001,-1.10517847397894e-004
